entry_time,exit_time,signal,entry,exit,pnl,reason,bars_held
2025-01-16 03:30:00,2025-01-16 06:15:00,SELL,1.02858,1.02875,-21.250000000000433,Stop Loss,11
2025-01-16 04:30:00,2025-01-16 06:15:00,SELL,1.02874,1.0286864285714288,7.553571428540406,Stop Loss,7
2025-01-16 10:45:00,2025-01-16 12:30:00,SELL,1.02853,1.026687142857143,178.7571428571324,Take Profit,7
2025-01-16 11:00:00,2025-01-16 12:30:00,SELL,1.02872,1.0269128571428572,180.7142857142896,Take Profit,6
2025-01-16 12:00:00,2025-01-16 12:30:00,SELL,1.02825,1.026619642857143,184.23035714285072,Take Profit,2
2025-01-16 12:15:00,2025-01-16 12:45:00,SELL,1.02742,1.0271492857142857,28.154285714292016,Stop Loss,2
2025-01-16 12:30:00,2025-01-16 13:30:00,SELL,1.02643,1.0274292857142857,-101.92714285714732,Stop Loss,4
2025-01-16 12:45:00,2025-01-16 13:30:00,SELL,1.02714,1.0274450000000002,-30.195000000021956,Stop Loss,3
2025-01-16 13:15:00,2025-01-16 13:30:00,SELL,1.02669,1.0278192857142858,-111.79928571428643,Stop Loss,1
2025-01-16 14:00:00,2025-01-16 15:00:00,SELL,1.02725,1.0283392857142857,-89.32142857142588,Stop Loss,4
2025-01-16 14:15:00,2025-01-16 15:00:00,SELL,1.02744,1.0286007142857143,-92.8571428571523,Stop Loss,3
2025-01-16 16:00:00,2025-01-16 17:45:00,BUY,1.02919,1.0299264285714287,41.240000000003725,Stop Loss,7
2025-01-16 16:15:00,2025-01-16 17:45:00,BUY,1.0299,1.0298764285714286,-1.2728571428586302,Stop Loss,6
2025-01-16 16:30:00,2025-01-16 17:45:00,BUY,1.03063,1.0298364285714285,-41.26571428571246,Stop Loss,5
2025-01-16 16:45:00,2025-01-16 17:45:00,BUY,1.0302,1.0298557142857143,-18.247142857141352,Stop Loss,4
2025-01-16 17:15:00,2025-01-17 04:30:00,BUY,1.03122,1.0293707142857143,-101.71071428571766,Stop Loss,45
2025-01-16 17:30:00,2025-01-17 04:30:00,BUY,1.03024,1.0293742857142858,-47.61428571428361,Stop Loss,44
2025-01-16 18:15:00,2025-01-17 04:30:00,BUY,1.02976,1.0293885714285715,-20.428571428565693,Stop Loss,41
2025-01-16 18:45:00,2025-01-17 04:30:00,BUY,1.02996,1.0296414285714286,-21.66285714285454,Stop Loss,39
